Date,Units
2024-10-01,4455335
2024-10-06,4455828
2024-10-07,4455348
2024-10-08,4455490
2024-10-09,4455490
2024-10-10,4451584
2024-10-13,4451584
2024-10-14,4446566
2024-10-15,4445303
2024-10-20,4445135
2024-10-21,4444961
2024-10-22,4447101
2024-10-27,4452152
2024-10-28,4452068
2024-10-29,4454207
2024-10-30,4441984
2024-10-31,4441984
2024-11-03,4438998
2024-11-04,4438998
2024-11-05,4438998
2024-11-06,4438998
2024-11-07,4437476
2024-11-10,4467215
2024-11-11,4463944
2024-11-12,4467515
2024-11-13,4453418
2024-11-14,4453418
2024-11-17,4469906
2024-11-18,4469906
2024-11-19,4467553
2024-11-20,4460177
2024-11-21,4460177
2024-11-24,4446549
2024-11-25,4433878
2024-11-26,4432573
2024-11-27,4445213
2024-11-28,4478453
2024-12-01,4487140
2024-12-02,4490040
2024-12-03,4489280
2024-12-04,4483633
2024-12-05,4497803
2024-12-08,4493642
2024-12-09,4494489
2024-12-10,4511509
2024-12-11,4517740
2024-12-12,4506681
2024-12-15,4507668
2024-12-16,4495629
2024-12-17,4490784
2024-12-18,4485645
2024-12-19,4508066
2024-12-22,4512092
2024-12-23,4512291
2024-12-24,4511174
2024-12-25,4515499
2024-12-26,4537102
2024-12-29,4526794
2024-12-30,4526794
2024-12-31,4531203
2025-01-01,4531177
2025-01-02,4540440
2025-01-05,4542074
2025-01-06,4542114
2025-01-07,4539679
2025-01-08,4540187
2025-01-09,4541272
2025-01-12,4557576
2025-01-13,4536644
2025-01-14,4548615
2025-01-15,4546029
2025-01-16,4545149
2025-01-19,4545149
2025-01-20,4544629
2025-01-21,4557470
2025-01-22,4557840
2025-01-23,4570857
2025-01-26,4568606
2025-01-27,4595462
2025-01-28,4602484
2025-01-29,4603535
2025-01-30,4607833
2025-02-02,4612087
2025-02-03,4621594
2025-02-04,4626006
2025-02-05,4626196
2025-02-06,4635429
2025-02-09,4647540
2025-02-10,4649051
2025-02-11,4670219
2025-02-12,4674253
2025-02-13,4676104
2025-02-16,4676853
2025-02-17,4683625
2025-02-18,4683625
2025-02-19,4681770
2025-02-20,4682132
2025-02-23,4686687
2025-02-24,4695771
2025-02-25,4695771
2025-02-26,4698939
2025-02-27,4698551
2025-03-02,4695009
2025-03-03,4695568
2025-03-04,4694826
2025-03-05,4697632
2025-03-06,4698390
2025-03-09,4698504
2025-03-10,4695032
2025-03-11,4696217
2025-03-12,4689217
2025-03-13,4683271
2025-03-16,4699969
2025-03-17,4682714
2025-03-18,4694486
2025-03-19,4681769
2025-03-20,4678512
2025-03-23,4678592
2025-03-24,4672133
2025-03-25,4672348
2025-03-26,4672348
2025-03-27,4668465
2025-03-30,4671336
2025-03-31,4665771
2025-04-01,4661790
2025-04-02,4668028
2025-04-03,4630352
2025-04-06,4630352
2025-04-07,4647280
2025-04-08,4637639
2025-04-09,4640643
2025-04-10,4627185
2025-04-14,4643896
2025-04-15,4633114
2025-04-16,4621919
2025-04-17,4624471
2025-04-20,4618678
2025-04-21,4618678
2025-04-22,4606366
2025-04-23,4606366
2025-04-24,4607293
2025-04-27,4608342
2025-04-28,4609374
2025-04-29,4609454
2025-05-04,4610254
2025-05-05,4609818
2025-05-06,4610061
2025-05-07,4608747
2025-05-08,4616417
2025-05-11,4632229
2025-05-12,4614938
2025-05-13,4613523
2025-05-14,4615818
2025-05-15,4615934
2025-05-18,4615934
2025-05-19,4627816
2025-05-20,4642589
2025-05-21,4639024
2025-05-22,4635750
2025-05-25,4636628
2025-05-26,4635475
2025-05-27,4639730
2025-05-28,4640373
2025-05-29,4629746
2025-06-03,4622618
2025-06-04,4745565
2025-06-05,4770677
2025-06-08,4732783
2025-06-09,4758542
2025-06-10,4760811
