Date,Units,Assets
2022-05-15,143187541,4281307.00
2022-05-16,143178026,4344021.00
2022-05-17,144532296,4473275.00
2022-05-18,144945583,4444032.00
2022-05-19,145139114,4341111.00
2022-05-22,146252843,4364185.00
2022-05-23,146272382,4407187.00
2022-05-24,145535416,4336955.00
2022-05-25,145437585,4200237.00
2022-05-26,145361559,4275083.00
2022-05-29,145315184,4359456.00
2022-05-30,145234070,4314904.00
2022-05-31,145224981,4333513.00
2022-06-01,145183806,4457143.00
2022-06-02,145139935,4420962.00
2022-06-06,145153506,4486695.00
2022-06-07,145130658,4484537.00
2022-06-08,145069638,4497159.00
2022-06-09,145061553,4476600.00
2022-06-12,144843572,4322132.00
2022-06-13,145471850,4218684.00
2022-06-14,146571232,4278414.00
2022-06-15,147224405,4356370.00
2022-06-16,147734522,4231117.00
2022-06-19,148804511,4331699.00
2022-06-20,148736956,4363942.00
2022-06-21,148695797,4423700.00
2022-06-22,148688913,4331308.00
2022-06-23,148679632,4305762.00
2022-06-26,149428939,4406659.00
2022-06-27,149419128,4382463.00
2022-06-28,149647973,4459510.00
2022-06-29,149468212,4460131.00
2022-06-30,149381903,4387346.00
2022-07-03,149582594,4405207.00
2022-07-04,149594476,4387606.00
2022-07-05,150270281,4357838.00
2022-07-06,150613997,4375337.00
2022-07-07,151289367,4493294.00
2022-07-10,151747440,4610087.00
2022-07-11,151761776,4605970.00
2022-07-12,151750331,4643560.00
2022-07-13,151735601,4640075.00
2022-07-14,152021785,4609301.00
2022-07-17,151953693,4651303.00
2022-07-18,151936309,4711545.00
2022-07-19,152572963,4670258.00
2022-07-20,152828108,4778935.00
2022-07-21,152863054,4841173.00
2022-07-24,153508971,4843208.00
2022-07-25,153480966,4771723.00
2022-07-26,153513685,4689843.00
2022-07-27,153517382,4740617.00
2022-07-28,153538883,4767382.00
2022-07-31,153532311,4814773.00
2022-08-01,153543765,4753715.00
2022-08-02,153517542,4688426.00
2022-08-03,154411161,4737334.00
2022-08-04,155302776,4811280.00
2022-08-08,155422938,4833653.00
2022-08-09,155464234,4855148.00
2022-08-10,155343011,4988064.00
2022-08-11,155261060,5002511.00
2022-08-14,155362987,5053958.00
2022-08-15,155441704,5107814.00
2022-08-16,155444341,5207385.00
2022-08-17,155649962,5239178.00
2022-08-18,155621440,5389170.00
2022-08-21,155664183,5373528.00
2022-08-22,155691231,5333982.00
2022-08-23,155954075,5396011.00
2022-08-24,156061585,5440307.00
2022-08-25,156195390,5415294.00
2022-08-28,156220360,5420846.00
2022-08-29,156280126,5357283.00
2022-08-30,156395453,5328393.00
2022-08-31,156453500,5353839.00
2022-09-01,156495855,5350593.00
2022-09-04,156210045,5379874.00
2022-09-05,156205938,5357864.00
2022-09-06,156227381,5350788.00
2022-09-07,156294459,5223361.00
2022-09-08,156307907,5225373.00
2022-09-11,156333406,5290322.00
2022-09-12,156364478,5322647.00
2022-09-13,156374213,5268247.00
2022-09-14,156359497,5153609.00
2022-09-15,156263365,5162942.00
2022-09-18,156254962,5039223.00
2022-09-19,156239811,5107479.00
2022-09-20,156146362,5085687.00
2022-09-21,156144093,5087175.00
2022-09-22,156093035,5071463.00
2022-09-28,156049099,4901502.00
2022-09-29,155973594,4774352.00
2022-10-02,156557293,4623137.00
2022-10-03,157372274,4716447.00
2022-10-06,158115565,4795645.00
2022-10-11,158101720,4730403.00
2022-10-12,158382608,4768900.00
2022-10-13,158367660,4861887.00
2022-10-18,158409449,4970889.00
2022-10-19,158549036,5026004.00
2022-10-20,158563427,5053416.00
2022-10-23,158503088,5073684.00
2022-10-24,158563759,5169179.00
2022-10-25,158556440,5279929.00
2022-10-26,158506916,5254504.00
2022-10-27,158506916,5265600.00
2022-10-30,158415667,5313261.00
2022-10-31,158415607,5291081.00
2022-11-02,158377921,5345255.00
2022-11-03,158336244,5240930.00
2022-11-06,158355544,5290659.00
2022-11-07,158342783,5291816.00
2022-11-08,158316037,5305170.00
2022-11-09,158310347,5322394.00
2022-11-10,158176535,5425455.00
2022-11-13,158144737,5338966.00
2022-11-14,158029754,5249748.00
2022-11-15,157759628,5286525.00
2022-11-16,157815577,5143210.00
2022-11-17,157839825,4981425.00
2022-11-20,157708648,5122377.00
2022-11-21,157432812,5020532.00
2022-11-22,157379475,5040865.00
2022-11-23,157038452,5111602.00
2022-11-24,156946789,5033284.00
2022-11-27,156950650,4950224.00
2022-11-28,156867086,4916214.00
2022-11-29,156652156,5028534.00
2022-11-30,156651532,4989351.00
2022-12-01,156008209,5001623.00
2022-12-04,155528966,4944266.00
2022-12-05,155505290,4946623.00
2022-12-06,155570902,4891149.00
2022-12-07,155522945,4832098.00
2022-12-08,155515049,4942268.00
2022-12-11,155194337,4932076.00
2022-12-12,155192779,4894780.00
2022-12-13,155116331,4898574.00
2022-12-14,154437781,4792204.00
2022-12-15,154382227,4690132.00
2022-12-18,154174074,4612888.00
2022-12-19,154164610,4623397.00
2022-12-20,154062158,4554077.00
2022-12-21,153826454,4619408.00
2022-12-22,153760153,4555913.00
2022-12-25,153769709,4431643.00
2022-12-26,153754511,4411217.00
2022-12-27,153553016,4477606.00
2022-12-28,153314467,4538108.00
2022-12-29,153213873,4617866.00
2023-01-01,153548085,4560378.00
2023-01-02,153543187,4572516.00
2023-01-03,153603236,4585057.00
2023-01-04,153560871,4692820.00
2023-01-05,153718907,4663832.00
2023-01-08,153708989,4688124.00
2023-01-09,153715178,4668330.00
2023-01-10,153753816,4683341.00
2023-01-11,153746906,4724642.00
2023-01-12,153517420,4732942.00
2023-01-15,152615167,4753962.00
2023-01-16,152547563,4771688.00
2023-01-17,152518977,4717412.00
2023-01-18,152218627,4667023.00
2023-01-19,151982646,4614193.00
2023-01-22,151781371,4624778.00
2023-01-23,151681302,4595943.00
2023-01-24,151303898,4661673.00
2023-01-25,150879691,4607866.00
2023-01-26,150844984,4535909.00
2023-01-29,150597147,4292019.00
2023-01-30,150276482,4458703.00
2023-01-31,150302213,4491030.00
2023-02-01,152010866,4519283.00
2023-02-02,151767265,4577301.00
2023-02-05,151565422,4487852.00
2023-02-06,150628952,4493262.00
2023-02-07,150504196,4466965.00
2023-02-08,150281707,4377706.00
2023-02-09,150231387,4341687.00
2023-02-12,150196221,4342173.00
2023-02-13,150238771,4517680.00
2023-02-14,149987533,4483127.00
2023-02-15,150925649,4618325.00
2023-02-16,150781426,4552091.00
2023-02-19,150689733,4550830.00
2023-02-20,149771597,4542573.00
2023-02-21,149770363,4425714.00
2023-02-22,149536111,4474120.00
2023-02-23,150351100,4438364.00
2023-02-26,150340010,4326785.00
2023-02-27,150213138,4315623.00
2023-02-28,150146648,4313713.00
2023-03-01,150131582,4398855.00
2023-03-02,149896363,4471409.00
2023-03-05,149776288,4457342.00
2023-03-06,149776489,4572676.00
2023-03-08,149902601,4555540.00
2023-03-09,149911048,4587278.00
2023-03-12,149700373,4434125.00
2023-03-13,149745462,4350106.00
2023-03-14,149484834,4442689.00
2023-03-15,149507152,4326737.00
2023-03-16,149445627,4390713.00
2023-03-19,149388874,4378588.00
2023-03-20,149001073,4434272.00
2023-03-21,147448535,4423456.00
2023-03-22,147692765,4444075.00
2023-03-23,147636018,4606244.00
2023-03-26,147000254,4468808.00
2023-03-27,146914276,4544059.00
2023-03-28,146666814,4457204.00
2023-03-29,146665046,4322219.00
2023-03-30,146590216,4249650.00
2023-04-02,146695021,4372979.00
2023-04-03,146700453,4213237.00
2023-04-04,146873104,4184415.00
2023-04-09,147041656,4159808.00
2023-04-10,147049134,4164431.00
2023-04-13,147091825,4070031.00
2023-04-16,147021457,4098958.00
2023-04-17,146977731,4175637.00
