Date,Units,Assets
2022-07-17,1415714,138882.00
2022-07-18,1418146,141077.00
2022-07-19,1406129,140219.00
2022-07-20,1405982,141442.00
2022-07-21,1406304,142740.00
2022-07-24,1405290,143902.00
2022-07-25,1403541,143723.00
2022-07-26,1403658,142892.00
2022-07-27,1402934,143099.00
2022-07-28,1387869,142118.00
2022-07-31,1388195,143817.00
2022-08-01,1393115,144048.00
2022-08-02,1395220,142452.00
2022-08-03,1393240,143504.00
2022-08-04,1391184,144544.00
2022-08-08,1392228,147298.00
2022-08-09,1391124,148016.00
2022-08-10,1390675,151862.00
2022-08-11,1391532,154460.00
2022-08-14,1393027,154626.00
2022-08-15,1395143,154721.00
2022-08-16,1394146,153217.00
2022-08-17,1391593,150292.00
2022-08-18,1390419,151278.00
2022-08-21,1389383,149498.00
2022-08-22,1390245,147505.00
2022-08-23,1379064,145491.00
2022-08-24,1377694,149342.00
2022-08-25,1378437,149698.00
2022-08-28,1379022,145901.00
2022-08-29,1378356,145279.00
2022-08-30,1376299,145200.00
2022-08-31,1376275,146298.00
2022-09-01,1373513,144631.00
2022-09-04,1373513,144219.00
2022-09-05,1371869,142674.00
2022-09-06,1366910,141612.00
2022-09-07,1366683,138718.00
2022-09-08,1361623,138613.00
2022-09-11,1353435,139539.00
2022-09-12,1353254,140062.00
2022-09-13,1351370,137975.00
2022-09-14,1350297,134895.00
2022-09-15,1350335,133643.00
2022-09-18,1348712,134291.00
2022-09-19,1346972,133081.00
2022-09-20,1346348,133356.00
2022-09-21,1345097,132492.00
2022-09-22,1342757,130516.00
2022-09-28,1340877,124970.00
2022-09-29,1338805,122675.00
2022-10-02,1338258,118703.00
2022-10-03,1334406,119656.00
2022-10-06,1334406,121364.00
2022-10-11,1331340,119208.00
2022-10-12,1330120,120642.00
2022-10-13,1330123,122584.00
2022-10-18,1330191,123947.00
2022-10-19,1329619,122179.00
2022-10-20,1329152,120434.00
2022-10-23,1329114,121228.00
2022-10-24,1328444,119972.00
2022-10-25,1328358,118915.00
2022-10-26,1327625,120747.00
2022-10-27,1326715,120426.00
2022-10-30,1325865,121754.00
2022-10-31,1332683,118635.00
2022-11-02,1333230,119377.00
2022-11-03,1333673,115363.00
2022-11-06,1333968,116736.00
2022-11-07,1330405,115785.00
2022-11-08,1329980,113394.00
2022-11-09,1342995,114960.00
2022-11-10,1356769,122150.00
2022-11-13,1359912,123113.00
2022-11-14,1336709,120077.00
2022-11-15,1319084,123888.00
2022-11-16,1320435,122338.00
2022-11-17,1320321,120651.00
2022-11-20,1319586,121310.00
2022-11-21,1319025,119965.00
2022-11-22,1318932,119403.00
2022-11-23,1294390,114295.00
2022-11-24,1244812,110041.00
2022-11-27,1242343,107562.00
2022-11-28,1238915,105803.00
2022-11-29,1222317,106170.00
2022-11-30,1209708,106140.00
